ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
1983;5èmes Rencontres Trans Musicales de Rennes;Tales;;;1983-12-14;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Lyon;;;;1980;1983.0
1982;4èmes Rencontres Trans Musicales de Rennes;Dick Tracy;;;1982-12-16;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nancy;;;;1980;1984.0
1982;4èmes Rencontres Trans Musicales de Rennes;Lobotom Cast;;;1982-12-16;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nice;;;;;
1980;2èmes Rencontres Trans Musicales de Rennes;Frakture;;;1980-12-18;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1977;1980.0
2016;38èmes Rencontres Trans Musicales de Rennes;Ann Clue;;;2016-12-03;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;Mannheim;;;;2010;
2016;38èmes Rencontres Trans Musicales de Rennes;Deena Abdelwahed Live;;;2016-12-03;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;Tunisie;;;;Tunis;;;;2011 (2009 en tant que chanteuse de jazz et de funk);
2016;38èmes Rencontres Trans Musicales de Rennes;Grand Parc;;;2016-12-02;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Caen;;;;2012;
2016;38èmes Rencontres Trans Musicales de Rennes;Il Est Vilaine;;;2016-12-01;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2014;
2016;38èmes Rencontres Trans Musicales de Rennes;NVDES;;;2016-12-04;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;2015;
2016;38èmes Rencontres Trans Musicales de Rennes;Rejjie Snow;;;2016-12-01;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Irlande;;;;Dublin;;;;2013;
2016;38èmes Rencontres Trans Musicales de Rennes;Trad.Attack!;;;2016-12-01;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Estonie;;;;Tallinn;;;;2013;
2015;37èmes Rencontres Trans Musicales de Rennes;Beef n' Weasel;;;2015-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nantes;;;;Début des années 2000;2014.0
2015;37èmes Rencontres Trans Musicales de Rennes;Her;;Tournée des Trans;2015-11-19;Stereolux;Nantes;Tournée des Trans;2015-11-20;L'Échonova;Vannes;Tournée des Trans;2015-11-27;Le Cargö;Caen;Kaléidoscope;2015-11-28;Théâtre de Poche;Hédé;;2015-12-03;Parc des Expositions - Hall 3;Bruz;;;;;France;;;;Rennes;;;;2015;2015.0
2014;36èmes Rencontres Trans Musicales de Rennes;Clarens;;;2014-12-04;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2012;2014.0
2014;36èmes Rencontres Trans Musicales de Rennes;Dollkraut;;;2014-12-06;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;Amsterdam;;;;2007;2009.0
2014;36èmes Rencontres Trans Musicales de Rennes;Friend Within;;;2014-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Liverpool;;;;2012;2013.0
2014;36èmes Rencontres Trans Musicales de Rennes;Islam Chipsy;;;2014-12-06;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Égypte;;;;Le Caire;;;;2009 avec 2 batteurs / 2006 en solo;2014.0
